[00:00.000 --> 00:05.700]  I just got a Mojave alert from Skype asking me to use my microphone. So hopefully it actually works
[00:06.880 --> 00:08.880]  You're doing this on Mojave?
[00:09.900 --> 00:14.120]  You know what they say about you know, what doesn't kill you makes you stronger
[00:15.720 --> 00:17.720]  You are very brave I
[00:18.860 --> 00:23.860]  Do have Mojave installed but I have it installed on an external USB drive for my iMac
[00:23.860 --> 00:30.320]  I was the smart way to go about things. Honestly, it's been it's been pretty solid. It is. I've just run into yeah
[00:30.460 --> 00:35.840]  It and iOS 12 both. I've been impressed. Yeah, I think there is something to the
[00:36.360 --> 00:42.460]  Sort of a focus on bug fixed ability type stuff. I mean both, you know
[00:43.640 --> 00:48.360]  Federighi set it on stage at WWDC for iOS. It was the first thing he mentioned about iOS 12
[00:48.360 --> 00:52.180]  Yeah, but German had a leaked
[00:52.940 --> 00:56.500]  Sort of engineering staff meeting from months ago
[00:57.500 --> 01:03.100]  Where this was brought up and I think it kind of shows in these betas, especially the fact that both of them are
[01:04.020 --> 01:06.380]  Both Mac and iOS are both sort of
[01:06.940 --> 01:10.340]  Universally held up as far as I can tell as some of the most stable
[01:10.900 --> 01:16.400]  WWDC betas in memory. Yeah, I mean I can I can definitely attest to that
[01:16.400 --> 01:20.720]  I'm considering I don't know how long have you been running betas on your on your phone?
[01:20.720 --> 01:23.140]  Because I feel like I've been doing it at least since
[01:23.940 --> 01:25.520]  2012
[01:25.520 --> 01:27.580]  2011 and
[01:27.580 --> 01:29.860]  Usually it's like the first month just sucks
[01:29.900 --> 01:37.240]  Yeah, like you just say goodbye to that phone really working in the interest of playing around or and you know
[01:37.240 --> 01:42.460]  And our case writing about new features well and the WWDC build ones are all bad
[01:42.460 --> 01:49.140]  For off notoriously bad for two reasons one. It's they're the first ones that come outside Apple and second
[01:49.140 --> 01:54.820]  There's a hard and fast date. They have to worry at some point at some point on Sunday
[01:54.920 --> 02:00.060]  You know the day before the keynote that they've got to say this is the GM build, you know
[02:01.520 --> 02:05.940]  You know, we know about XY and Z but hey these things are you know?
[02:05.940 --> 02:12.460]  Craig or Phil or somebody is going to stand on stage and say this is gonna be available after the keynote
[02:12.460 --> 02:15.820]  And so it's going to be available after the keynote. So it's understandable
[02:16.300 --> 02:22.100]  Yeah, we kind of have to lock it. Did you read the the watch OS 5 release notes? Cuz those those are excellent
[02:22.100 --> 02:28.920]  No, I did not tell me about the developer release notes, which I don't think are behind the firewall
[02:28.920 --> 02:31.900]  So hopefully I'm not breaking anymore. No
[02:31.900 --> 02:38.120]  That's true. That's true. No screenshots NDA, right? But yeah, but the developer release notes are essentially like
[02:38.640 --> 02:42.960]  This doesn't work. This doesn't work walkie-talkies not in this build yet
[02:43.360 --> 02:49.520]  Don't try sending Apple pay to your friends via messages on your Apple watch because it's not gonna work
[02:50.000 --> 02:55.580]  If you try this specific combination of things on your Apple watch, you'll probably kernel panic it
[02:55.600 --> 03:00.060]  It was just like a long list of like be careful about this. Don't do this
[03:00.060 --> 03:02.340]  If you're going to do this do it this way
[03:03.780 --> 03:11.040]  I'm like, yeah, this is this in combination with the fact that the watch is pretty much impossible to reset if you brick it
[03:12.200 --> 03:16.940]  People wonder why the watch doesn't have a public beta and I'm like, well this this is a great reason
[03:16.940 --> 03:21.060]  Why the watch is still I mean again, we can get the WWDC news soon
[03:21.060 --> 03:26.060]  but the watch in general is still such a pain in the ass to update at all like
[03:26.060 --> 03:32.940]  It it's gotten better like the first time like has the fight with the original watch the first time there was a software update
[03:32.940 --> 03:36.260]  I was convinced it was bricked. I was like there is no possible way
[03:36.740 --> 03:40.860]  That this this slow spinner around the outside, you know
[03:40.860 --> 03:46.660]  Like spinning it to complete a circle is supposed to take this long and I'm like look it's stuck
[03:46.660 --> 03:47.260]  It's stuck
[03:47.260 --> 03:49.360]  It's stuck at like seven o'clock and I like
[03:49.520 --> 03:54.600]  Put my finger at the tick mark where it was and just waited for it to move just one more tick
[03:54.600 --> 03:59.080]  And then finally it moved I was like, okay, it's not stuck and then it like completes the circle
[03:59.760 --> 04:05.280]  The screen goes black and then it starts another circle and it's the secondary circle
[04:06.480 --> 04:12.500]  I'm really screwed. So it's way better than it was then but it still takes seemingly so long
[04:12.500 --> 04:14.880]  it just seems like there's never a good time to like
[04:15.880 --> 04:21.760]  update your watch unless you you know and it's like you kind of have to babysit it and it has to be on a charger and
[04:21.760 --> 04:25.840]  You know, I tend to keep my charger up in the bedroom and it's the only place
[04:25.840 --> 04:29.720]  I really need one on a regular basis and I'm like, I don't want to go up to the bedroom
[04:29.720 --> 04:33.600]  I think there's got to be a watch charger around here somewhere and no I can't find one
[04:33.760 --> 04:39.120]  If only Apple had released that that airpower charging station, then you could have just charged your watch
[04:39.700 --> 04:45.720]  Well, I just did you see that I just linked to that? No, just right before we started the show
[04:45.720 --> 04:49.400]  I just I just posted it. That's like you're you're we're in sync
[04:49.400 --> 04:52.480]  I just posted an item on during fireball where the heck is
[04:54.560 --> 04:58.880]  My gosh, I just assume it just got lost in in the move to Apple Park
[04:58.880 --> 05:04.880]  It's in a box somewhere and they're like, oh our final design proves we want to approve them, but they're they're all buried
[05:04.880 --> 05:08.440]  I don't know something is I don't want to go deep on it
[05:08.440 --> 05:12.600]  But I mean something clearly I think has gone very wrong with that product. Yeah
[05:12.600 --> 05:14.920]  well, I mean it's a it's a tricky one right because
[05:14.920 --> 05:21.880]  Supporting supporting the iPhone is a pretty standard like cut-and-dry thing because of the standards and everything else
[05:22.520 --> 05:28.140]  But they really kind of I feel like they bit off a couple of extra things where they're like and it's gonna work with
[05:28.140 --> 05:34.320]  The software so that your iPhone will tell you all of the things that are charging and it's gonna charge the watch with no
[05:34.480 --> 05:40.160]  Extra fiddly-diddly bits and we're gonna release a new air pods case that's gonna work with it
[05:40.160 --> 05:47.920]  I'm just like maybe maybe you start with just saying it's gonna charge the iPhone and it can charge two iPhones at once and
[05:48.200 --> 05:52.320]  Then you add the extra things cuz I think the extra things are probably getting like
[05:52.520 --> 05:59.960]  My my pet theory now is that air power is gonna come out with the watch the series 4 watch and they're just gonna say
[05:59.960 --> 06:04.300]  It's series 4 and above because trying to get it to work with the series 3 has been such a pain
[06:04.360 --> 06:07.480]  Like that's just my pet like I have no inside information on this
[06:07.480 --> 06:13.280]  But it's just my pet theory of like it's probably the watch if I had to guess anything. It's probably the watch
[06:14.080 --> 06:18.420]  My fear is that they're like they've got like, okay production units and they're like, alright
[06:18.420 --> 06:25.080]  Let's go through the testing and you know set up a hundred of them and like two phones catch on fire. Oh my god
[06:25.080 --> 06:29.760]  I don't know. It's like I don't know. I don't know. It's just I
[06:30.400 --> 06:34.320]  Don't know. It's a weird one. It's a very it's a very weird one, especially
[06:34.320 --> 06:38.760]  They haven't really they never released a like this will be out later, right?
[06:38.760 --> 06:44.720]  Cuz they've done that on some products before where they're like, we know we said this but it's gonna be out a little bit later
[06:44.720 --> 06:46.920]  I don't remember them doing it for air power
[06:47.640 --> 06:49.360]  the worst
