[00:00.000 --> 00:06.160]  So we spent like pretty much the whole beginning of the week together, and it started, we had
[00:06.160 --> 00:14.800]  a wonderful dinner on Monday night with our mutual friend Michael Lop, where you two wanted
[00:14.800 --> 00:18.760]  to talk entirely about Destiny 2, but all I wanted to talk about is how is Apple going
[00:18.760 --> 00:27.440]  to pronounce the X in the name iPhone X, because the name had leaked, and we had one and only
[00:27.440 --> 00:31.800]  one reason why they might call it iPhone X, which was that we're 10 years away from the
[00:31.800 --> 00:39.160]  original iPhone, and we came up with a list of like 15 good reasons why they would pronounce
[00:39.160 --> 00:44.020]  it iPhone X, and we just left the dinner like, well, that's a settled deal. It'll be iPhone
[00:44.020 --> 00:51.480]  X. And then I stayed in the city, could not get a hotel. It's bizarre that I could not
[00:51.480 --> 00:56.600]  get a hotel near Cupertino, so I just stayed in the city, and you swung by kindly and picked
[00:56.600 --> 01:01.580]  me up the morning of the event, and we drove down, and as we're driving from San Francisco
[01:01.580 --> 01:07.040]  to Cupertino, I said, you know what? I'm going to write that up. And right there in the front
[01:07.040 --> 01:15.480]  seat of Matthew's car, I wrote the article I headlined X-Man, explaining exactly in predicting,
[01:15.480 --> 01:19.460]  you know, only an hour before the event, two hours before the event, exactly why I thought
[01:19.460 --> 01:27.400]  they were going to call it iPhone X. Well, you know, I was I was there to be the voice
[01:27.400 --> 01:33.240]  of reason, and I just didn't speak up. Honestly, I bought in, though, I got into your reasoning.
[01:33.240 --> 01:38.960]  No, we were all convinced. I was the one who started dinner convinced and and you and Michael
[01:38.960 --> 01:42.720]  were both like, I could see it both ways. And by the end of it, and half of the reasons
[01:42.720 --> 01:47.840]  I came up with, I stole from you and Michael. Like, it wasn't just even by reasons like,
[01:47.840 --> 01:51.680]  right, right. I'll take the heat for it. But quite frankly, it should have been like crowd
[01:51.680 --> 01:57.120]  sourced. It should have been a three byline article. Me, you and Michael eating prime
[01:57.120 --> 02:05.120]  live deciding. Yeah. Oh, my God. Now I'm hungry. Yeah, I still I still am. I'm fine with it.
[02:05.120 --> 02:11.960]  You know, I'm fine with the logic behind the reasons. But I think in the end, you I told
[02:11.960 --> 02:15.200]  somebody this the other day about something different. It was something some of the decision
[02:15.200 --> 02:19.640]  that Apple had made or was going to make or whatever. I said, you know, in the end, there
[02:19.640 --> 02:25.240]  can be like lots of logical reasons why X or Y or Z that would be the choice that they
[02:25.240 --> 02:31.560]  would make. But when it boils down to it, if you go back, write up a scorecard of all
[02:31.560 --> 02:35.920]  the decisions they've ever made and all of the things, you know, of the the pre thinking
[02:35.920 --> 02:39.920]  that everybody put into. Oh, what will they do? What will they do? In the end, they typically
[02:39.920 --> 02:44.920]  do the most absolutely the most obvious thing. The most obvious thing is the thing that they
[02:44.920 --> 02:49.840]  do because they're working at such enormous scale. That's what makes sense typically.
[02:49.840 --> 02:54.480]  You know, so iPhone 10 just. Yeah, the other one was iPhone eight. Why wouldn't we call
[02:54.480 --> 02:59.780]  this iPhone 10? You know, it's just like logical. So I will say this. I ran into Phil Schiller
[02:59.780 --> 03:09.160]  after the event and the first thing he said to me was, hey, John, sorry about the 10 thing.
[03:09.160 --> 03:14.860]  Which blew my mind because I literally published it like 90 minutes before the thing. So how
[03:14.860 --> 03:20.080]  could he possibly have been aware of it? Because you'd think he would be like in like concentration
[03:20.080 --> 03:25.320]  mode, a little busy, you would think. And he laughed and I laughed. And he and then
[03:25.320 --> 03:32.760]  all he said was, we spent a lot of time on the name and ended up back at one. Right.
[03:32.760 --> 03:37.720]  I think you're exactly right. I feel like they probably did spend a lot of time and
[03:37.720 --> 03:44.440]  they ended up at the most obvious thing possible. So the other day was pretty good. So, yeah,
[03:44.440 --> 03:48.920]  you published it and we go, we're so harried. I mean, you and I are harried, right? Trying
[03:48.920 --> 03:55.240]  to find the place and get in because it's brand new. We're running into a literal blockade
[03:55.240 --> 04:02.160]  because they have blocked an entire street off. And I got a rash of crap from Apple people
[04:02.160 --> 04:07.000]  about using Waze instead of Apple Maps because they said that Apple Maps would have directed
[04:07.000 --> 04:12.300]  me appropriately. This is too good of a story. So we've plugged the address in and you and
[04:12.300 --> 04:18.360]  I both, you know, when you get an invitation to one of these events, somebody in Apple
[04:18.360 --> 04:23.880]  PR emails you, you know, there's somebody who's, who's like your point person and your,
[04:23.880 --> 04:28.540]  Hey, if you have any questions, contact me person. And it varies by event, but that way
[04:28.540 --> 04:32.360]  everybody's taken care of. And, and there's tons, I don't know how many people there are
[04:32.360 --> 04:39.500]  in Apple PR, but there's, it's, you know, pretty large group. And you and I both had
[04:39.500 --> 04:45.040]  emails that, that seemed to imply an unusual amount of familiarity. It was just like, Hey,
[04:45.040 --> 04:50.840]  we'll see you there. You've got briefings the next day after the event or after the
[04:50.840 --> 04:56.800]  event at, you know, 11, 15 and we'll meet you at the cafe. And it's like, well, where's
[04:56.800 --> 05:02.720]  the cafe? Oh yes, the cafe. Got it. I have no idea. It just implied an unusual amount
[05:02.720 --> 05:06.800]  of familiarity with a campus that we obviously have no familiarity with, but they did give
[05:06.800 --> 05:12.040]  us a street address and, and you plugged it in to, to ways and, and we're going there.
[05:12.040 --> 05:18.280]  And, and like you said, we literally, they had the street closed and it was obvious that
[05:18.280 --> 05:23.120]  it was Apple people who had closed it. They're, they're, they're Manning it. And we're looking
[05:23.120 --> 05:28.120]  at the mixture of people, but some of them were definitely wearing that like white shirt,
[05:28.120 --> 05:35.320]  black pant, Apple security, traffic control. And from within the car we gave like a, Hey,
[05:35.320 --> 05:39.240]  where do we do? And, and there was a woman who gave us sort of a, you can either go left
[05:39.240 --> 05:43.440]  or right. And so we made a right and next thing you know, we're like, it was like, it
[05:43.440 --> 05:48.800]  was the wildly coyote thing. Like, you know, the two arms cross pointing either direction,
[05:48.800 --> 05:56.000]  you know, like Alice in Wonderland, just your cat, you can go this way. So we made a choice
[05:56.000 --> 06:00.720]  and we ended up behind. It was not the main building. It was, it's, it's some of these
[06:00.720 --> 06:05.320]  peripheral buildings that it's obviously part of campus, obviously new construction. And
[06:05.320 --> 06:10.040]  the ones we were behind were obviously unfinished. It was these buildings that run finished.
[06:10.040 --> 06:14.840]  There was a garage back there, but we were a hundred percent certain that this is not
[06:14.840 --> 06:18.800]  where we were supposed to go. And so we both made some texts, placed some texts, like to,
[06:18.800 --> 06:25.760]  to PR people like, Hey, what are we supposed to do? So we got a call from Apple PR and,
[06:25.760 --> 06:29.360]  and they were like, you got to go around the block. And they were like, are you, what are
[06:29.360 --> 06:34.120]  you using Google maps? And I thought it was a joke from Apple. Like I thought it was like,
[06:34.120 --> 06:39.220]  Oh, that's just the type of joke. Yeah. What are you using Google maps to get real? Yeah.
[06:39.220 --> 06:46.100]  But the truth is that Apple had a seated, I guess in some way, Apple maps with where
[06:46.100 --> 06:52.720]  if you plugged the address of that they gave us in, it was like 10, 600 ton, 10 towel drive.
[06:52.720 --> 06:57.000]  It would give you the exact right directions to get there. And Google maps literally read
[06:57.000 --> 07:03.120]  you led you right into the, the, the blockade. So it really was the, and it kind of reveals
[07:03.120 --> 07:09.800]  the thinking at Apple where, where they're so on, you know, the, they, it just didn't
[07:09.800 --> 07:15.040]  even occur to them that people wouldn't be using Apple maps. Right. Right. Like, why
[07:15.040 --> 07:20.480]  are you lost? Obviously you're using our first party mapping application. We spent billions
[07:20.480 --> 07:24.640]  of dollars to develop and that we, why wouldn't you? Right. And that we literally spent time
[07:24.640 --> 07:29.320]  before the event, like routing people around it. Cause you and I went back the next day
[07:29.320 --> 07:34.880]  and the next day even Apple maps led us that way. Like they, they literally seemingly on,
[07:34.880 --> 07:38.760]  on the day of the event, they changed Apple maps, driving directions to get you around
[07:38.760 --> 07:42.320]  the street blockade that they set up for one day. Everybody ended up on the right side
[07:42.320 --> 07:45.960]  of the blockade to get directions and park appropriately and all that, which was fine.
[07:45.960 --> 07:49.880]  We literally had to go around Apple park. We drove around the perimeter of Apple park
[07:49.880 --> 07:53.400]  and ended up in the right spot, but it was just one of those things where you go, Oh
[07:53.400 --> 07:57.240]  yeah, they make the map. They can just make the map point wherever they want. Right. So
[07:57.240 --> 08:01.920]  literally instead of like sending us those explicit directions in the email, they just
[08:01.920 --> 08:06.040]  presumed that we'd be using Apple maps and they just put it into Apple maps, which I
